Item Name,ID,Max Stack Size,Has Block,Creative Tabs,Block Loot Behavior,No Loot Table,Override Loot Source Block,Vanilla Loot Method,Loot Drop Field,Included
Acacia Boat,acacia_boat,1,No,tools_and_utilities,,No,,,,No
Acacia Button,acacia_button,64,Yes,building_blocks,default,No,,drop_self,,Yes
Acacia Chest Boat,acacia_chest_boat,1,No,tools_and_utilities,,No,,,,No
Acacia Door,acacia_door,64,Yes,building_blocks,default,No,,custom,,Yes
Acacia Fence,acacia_fence,64,Yes,building_blocks,default,No,,drop_self,,Yes
Acacia Fence Gate,acacia_fence_gate,64,Yes,building_blocks,default,No,,drop_self,,Yes
Acacia Hanging Sign,acacia_hanging_sign,16,Yes,functional_blocks,default,No,,drop_self,,Yes
Acacia Leaves,acacia_leaves,64,Yes,natural_blocks,default,No,,custom,,Yes
Acacia Log,acacia_log,64,Yes,building_blocks; natural_blocks,default,No,,drop_self,,Yes
Acacia Planks,acacia_planks,64,Yes,building_blocks,default,No,,drop_self,,Yes
Acacia Pressure Plate,acacia_pressure_plate,64,Yes,building_blocks,default,No,,drop_self,,Yes
Acacia Sapling,acacia_sapling,64,Yes,natural_blocks,default,No,,drop_self,,Yes
Acacia Sign,acacia_sign,16,Yes,functional_blocks,default,No,,drop_self,,Yes
Acacia Slab,acacia_slab,64,Yes,building_blocks,default,No,,custom,,Yes
Acacia Stairs,acacia_stairs,64,Yes,building_blocks,default,No,,drop_self,,Yes
Acacia Trapdoor,acacia_trapdoor,64,Yes,building_blocks,default,No,,drop_self,,Yes
Acacia Wood,acacia_wood,64,Yes,building_blocks,default,No,,drop_self,,Yes
Activator Rail,activator_rail,64,Yes,redstone_blocks; tools_and_utilities,default,No,,drop_self,,Yes
Air,air,64,Yes,,no_loot_table,Yes,,,,No
Allay Spawn Egg,allay_spawn_egg,64,No,spawn_eggs,,No,,,,No
Allium,allium,64,Yes,natural_blocks,default,No,,drop_self,,Yes
Amethyst Block,amethyst_block,64,Yes,building_blocks; natural_blocks; redstone_blocks,default,No,,drop_self,,Yes
Amethyst Cluster,amethyst_cluster,64,Yes,natural_blocks,default,No,,custom,,Yes
Amethyst Shard,amethyst_shard,64,No,ingredients,,No,,,,Yes
Ancient Debris,ancient_debris,64,Yes,natural_blocks; ingredients,default,No,,drop_self,,Yes
Andesite,andesite,64,Yes,building_blocks; natural_blocks,default,No,,drop_self,,Yes
Andesite Slab,andesite_slab,64,Yes,building_blocks,default,No,,custom,,Yes
Andesite Stairs,andesite_stairs,64,Yes,building_blocks,default,No,,drop_self,,Yes
Andesite Wall,andesite_wall,64,Yes,building_blocks,default,No,,drop_self,,Yes
Angler Pottery Sherd,angler_pottery_sherd,64,No,ingredients,,No,,,,Yes
Anvil,anvil,64,Yes,functional_blocks,default,No,,drop_self,,Yes
Apple,apple,64,No,food_and_drinks,,No,,,,Yes
Archer Pottery Sherd,archer_pottery_sherd,64,No,ingredients,,No,,,,Yes
Armadillo Scute,armadillo_scute,64,No,ingredients,,No,,,,Yes
Armadillo Spawn Egg,armadillo_spawn_egg,64,No,spawn_eggs,,No,,,,No
Armor Stand,armor_stand,16,No,functional_blocks; redstone_blocks,,No,,,,Yes
Arms Up Pottery Sherd,arms_up_pottery_sherd,64,No,ingredients,,No,,,,Yes
Arrow,arrow,64,No,combat,,No,,,,Yes
Axolotl Bucket,axolotl_bucket,1,No,tools_and_utilities,,No,,,,No
Axolotl Spawn Egg,axolotl_spawn_egg,64,No,spawn_eggs,,No,,,,No
Azalea,azalea,64,Yes,natural_blocks,default,No,,drop_self,,Yes
Azalea Leaves,azalea_leaves,64,Yes,natural_blocks,default,No,,custom,,Yes
Azure Bluet,azure_bluet,64,Yes,natural_blocks,default,No,,drop_self,,Yes
Baked Potato,baked_potato,64,No,food_and_drinks,,No,,,,Yes
Bamboo,bamboo,64,Yes,natural_blocks,default,No,,drop_self,,Yes
Bamboo Block,bamboo_block,64,Yes,building_blocks,default,No,,drop_self,,Yes
Bamboo Button,bamboo_button,64,Yes,building_blocks,default,No,,drop_self,,Yes
